id,name,type,category,brand,weight_unit,total_price,kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,molybdenum_ug,iodine_ug,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b7_ug,vitamin_b9_ug,vitamin_b12_ug
tmpl_001,현미,식재료,곡물,,100g,0,360,7.5,2.7,0.5,0,77,3.4,0.7,5,0,10,1.5,110,330,223,2,0.11,3.74,15.1,0,0,0,0,0,0.4,0,0.4,0.05,4.3,0.7,0.5,0,20,0
tmpl_002,닭가슴살,식재료,단백질,,100g,0,165,31,3.6,1,0,0,0,0,60,85,15,0.9,29,228,256,1,0.05,0.02,27.6,0,0,8,0,0.3,0.3,0,0.08,0.12,13.7,1.0,0.6,0,9,0.4
tmpl_003,두부,식재료,단백질,,100g,0,83,8.8,4.8,0.7,0,1.9,0.3,0.5,1.5,0,350,2.8,60,120,150,1.2,0.2,0.8,10,0,0,0,0,0,0.1,0,0.1,0.06,0.5,0.2,0.08,0,25,0
tmpl_004,우유,식재료,유제품,,100g,0,65,3.3,1.8,1.15,0,4.9,0,4.9,50,0,110,0.05,11,90,155,0.4,0.02,0.01,3.7,0,0,28,1,0.6,0.1,0.5,0.04,0.175,0.1,0.7,0.04,5,6,0.45
tmpl_005,고구마,식재료,채소,,100g,0,115,1.2,0.1,0,0,27,3.3,5.5,36,0,30,0.6,25,47,337,0.3,0.15,0.26,0.6,0,0,961,2.4,0,0.3,1.8,0.08,0.06,0.6,0.8,0.2,0,11,0
tmpl_006,계란,식재료,단백질,,100g,0,155,12.6,10.6,3.3,0,1.1,0,1.1,140,373,50,1.8,12,198,138,1.3,0.07,0.03,30.8,0,0,160,0,2,1.1,7,0.04,0.44,0.1,1.5,0.14,20,47,1.1
tmpl_007,바나나,식재료,과일,,100g,0,89,1.1,0.3,0.1,0,22.8,2.6,12.2,1,0,5,0.3,27,22,358,0.2,0.08,0.27,1,0,0,3,8.7,0,0.1,0.5,0.03,0.07,0.7,0.3,0.4,0,20,0
tmpl_008,사과,식재료,과일,,100g,0,52,0.3,0.2,0,0,13.8,2.4,10.4,1,0,6,0.1,5,11,107,0,0.03,0.04,0,0,0,3,4.6,0,0.2,2.2,0.02,0.03,0.1,0.06,0.04,0,3,0
tmpl_009,시금치,식재료,채소,,100g,0,23,2.9,0.4,0.1,0,3.6,2.2,0.4,79,0,99,2.7,79,49,558,0.5,0.13,0.9,1,0,0,469,28.1,0,2,483,0.08,0.19,0.7,0.07,0.2,0,194,0
tmpl_010,브로콜리,식재료,채소,,100g,0,34,2.8,0.4,0.1,0,6.6,2.6,1.7,33,0,47,0.7,21,66,316,0.4,0.05,0.2,2.5,0,0,31,89.2,0,0.8,102,0.07,0.12,0.6,0.6,0.2,0,63,0
